username,password,firstName,lastName,address1,address2
elenasidor,IJynugvF6EWb,Elena,Sidorov,Oakwood Drive,Raleigh NC 27601
clarasmirn,7RvpTWuve77U,Clara,Smirnov,Hilltop Road,New York NY 10001
dmitrysmir,nWagmrYR3p9f,Dmitry,Smirnov,Elmwood Dr,Boston MA 02108
elenakuzne,lOKfC6b1rp99,Elena,Kuznetsov,Parkside Dr,Las Vegas NV 89101
clarasidor,pmQXDAHr50jK,Clara,Sidorov,Maple Ave,New York NY 10001
fedorsmirn,DOpdUSg2xfzh,Fedor,Smirnov,Birch Court,San Diego CA 92101
annasidoro,W3jfe2HZeVDw,Anna,Sidorov,Riverside Lane,Salt Lake City UT 84101
elenaivano,mV8w8TK0CSUr,Elena,Ivanov,Meadow Lane,San Francisco CA 94110
dmitrykuzn,ivR7LtziFFYP,Dmitry,Kuznetsov,Highland Rd,San Diego CA 92101
fedorivano,8ufMFqgjAtF2,Fedor,Ivanov,Forest Ave,Seattle WA 98101
